Dấu thời gian,Giới tính của bạn?,Chuyên ngành của bạn là gì?,Bạn là sinh viên năm thứ mấy?,Bạn đã từng sử dụng ứng dụng hỗ trợ AI nào dưới đây,Bạn quyết định sử các ứng dụng hỗ trợ AI dựa trên,Bạn cảm thấy dễ dàng khi sử dụng các ứng dụng hỗ trợ AI để phục vụ việc học tập  ,"Sử dụng ứng dụng AI giúp bạn đạt kết quả tốt trong lĩnh vực chuyên ngành của bạn (VD: Kinh tế quốc tế, Marketing, Công nghệ thông tin, v.v.)  ",Sử dụng ứng dụng AI đóng góp tích cực đến hiệu suất làm việc và kết quả học tập của bạn.  ,Bạn dự định sẽ tiếp tục sử dụng các ứng dụng hỗ trợ AI thường xuyên hơn để hỗ trợ mục đích học tập xuyên suốt quá trình học tập tại Đại học?  ,Tần suất sử dụng các ứng dụng hỗ trợ AI của bạn  ,Bạn đã từng ứng dụng AI vào học tập các môn nào trong quá trình học tập chưa?,"Vui lòng liệt kê một số mô tả cụ thể mà bạn đã từng tích hợp hoặc ứng dụng AI vào trong quá trình học tập của mình  (VD: Kinh tế vĩ mô, Lý thuyết xác suất và Thống kê toán, Cơ sở lập trình, v.v.) ",Bạn đã từng ứng dụng AI vào hoạt động nghiên cứu chưa?,"Vui lòng liệt kê, mô tả một số hoạt động trong nghiên cứu mà bạn đã từng tích hợp hoặc ứng dụng AI VD: Phân tích dữ liệu, viết bài, kiểm tra chính tả, tìm tài liệu  v.v. )"
1/21/2024 18:32:43,Nam,Công Nghệ Thông Tin,2,"Chat-GPT, Grammarly, Notion, Turnitin, Coursera",Đề xuất của bạn bè,5,5,5,5,Hàng ngày,Đã từng," Lý thuyết xác suất và Thống kê toán, Cơ sở lập trình",Đã từng,"Kinh tế, Công nghệ thông tin"
1/21/2024 18:56:16,Nam,Công nghệ thông tin,2,"Chat-GPT, Microsoft Copilot, Google Bard","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",5,4,5,5,Hàng tháng,Đã từng,Cơ sở lập trình và Kinh tế vi mô,Chưa,
1/21/2024 18:56:42,Nam,IT,2,"Chat-GPT, Microsoft Copilot, Google Bard, Turnitin, GPTZero","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,4,3,Hàng tuần,Đã từng,"Cơ sở lập trình, ...",Đã từng,"Tìm kiếm tài liệu, phân tích ..."
1/21/2024 18:59:12,Nam,IT,2,"Chat-GPT, Microsoft Copilot, Google Bard","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng ngày,Đã từng,Nhờ AI code bài giữa kỳ CSLT và giải thích code mẫu,Đã từng,"Tìm tài liệu, kiểm tra chính tả"
1/21/2024 19:07:00,Nam,IT,2,Chat-GPT,Đề xuất của bạn bè,5,3,4,5,Hiếm khi,Đã từng,Nhiều cái chưa thèm nói đâu,Chưa,
1/21/2024 19:10:15,Nam,IT,2,"Chat-GPT, Microsoft Copilot","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,3,Hàng tuần,Đã từng,Lập trình hướng đối tượng ,Chưa,
1/21/2024 19:13:04,Nữ,Công nghệ thông tin ,2,Chat-GPT,Đề xuất của bạn bè,4,3,4,5,Hàng tuần,Đã từng,"Lập trình hướng đối tượng, cơ sở lập trình,..",Chưa,
1/21/2024 19:14:04,Nam,CNTT,1,Chat-GPT,Đề xuất của bạn bè,3,3,3,3,Hàng ngày,Đã từng,"Toán rời rạc, nhập môn cntt",Chưa,
1/21/2024 19:15:29,Nam,IT,2,"Chat-GPT, Microsoft Copilot, Google Bard, Notion","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,3,4,4,Hàng ngày,Đã từng,Dùng AI viết những đoạn code cơ bản hoặc giải Toán ở môn Đại số hoặc Lý Thuyết Xác suất thống kê,Đã từng,"Tìm tài liệu,bài báo liên quan tới chủ đề mình đag nghiên cứu"
1/21/2024 19:17:23,Nam,cntt,1,"Chat-GPT, Google Bard, Grammarly","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,4,Hiếm khi,Đã từng,sử dụng để biết nhanh một số thông tin đơn giản dừng ở mức khái niệm lý thuyết,Đã từng,cách để có 1 chế độ ăn uống cân bằng phù hợp cho việc tập tành và cách chơi thuốc hiệu quả mà đúng liều lượng :))
1/21/2024 19:17:32,Nam,IT,2,"Chat-GPT, Microsoft Copilot, Google Bard, Notion, Coursera","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,3,Hàng ngày,Đã từng,Thiết kế web,Đã từng,Phân tích dữ liệu
1/21/2024 19:19:05,Nữ,Hệ thống thông tin quản lý,3,"Chat-GPT, Google Bard, Grammarly","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",5,4,5,5,Hàng tuần,Đã từng,"Triết học, quản tri tri thức,...",Chưa,
1/21/2024 19:20:39,Nữ,Công Nghệ Thông Tin,2,"Chat-GPT, Grammarly, Notion, Turnitin, Coursera","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,4,Hàng tuần,Đã từng,"Sử dụng Notion để lưu trữ thông tin bài học. Bên cạnh đó, sử dụng Chat GPT để giải bài toán, đưa ra gợi ý hoặc tìm hiểu thêm thông tin về vấn đề đang mắc phải",Chưa,
1/21/2024 19:21:10,Nam,Công Nghệ Thông Tin,2,Microsoft Copilot,Đề xuất của bạn bè,4,3,5,4,Hiếm khi,Chưa,,Chưa,
1/21/2024 19:21:34,Nữ,Tài chính Doanh nghiệp,4,"Chat-GPT, Microsoft Copilot, Google Bard","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,4,5,5,Hàng tuần,Đã từng,Khởi sự kinh doanh,Đã từng,Tìm tài liệu
1/21/2024 19:21:35,Nam,CNTT,1,"Chat-GPT, Grammarly",Gợi ý từ các nền tảng mạng xã hội,3,2,3,3,Hàng tháng,Chưa,,Chưa,
1/21/2024 19:24:47,Nam,Công nghệ thông tin,3,"Chat-GPT, Microsoft Copilot, Google Bard, Grammarly, Notion, Turnitin, Coursera","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng tuần,Đã từng,,Chưa,
1/21/2024 19:26:49,Nữ,Khoa học máy tính,1,Chat-GPT,Đề xuất của bạn bè,5,3,3,5,Hàng tuần,Đã từng,Toán rr,Chưa,
1/21/2024 19:30:51,Nam,IT,4,"Chat-GPT, Google Bard, Grammarly, Notion",Tự tìm hiểu tự biết ,4,4,4,3,Hàng ngày,Đã từng,Bảo poe generate code web reactjs,Chưa,
1/21/2024 19:30:53,Nam,Khoa học Máy tính ,2,Chat-GPT,"Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,4,Hiếm khi,Đã từng,,Chưa,
1/21/2024 19:33:55,Nam,IT,3,"Chat-GPT, Microsoft Copilot, Google Bard, Grammarly, Notion, Turnitin","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,5,Hiếm khi,Đã từng,,Đã từng,
1/21/2024 19:36:57,Nam,Khoa học máy tinh,1,Microsoft Copilot,"Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,3,4,Hàng ngày,Đã từng,Cơ sở lập trình,Chưa,
1/21/2024 19:42:12,Nữ,MIS,3,"Chat-GPT, Google Bard, Grammarly, Notion","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,4,4,4,Hàng tuần,Đã từng,"LTPTDL, QLNN, KTDN",Đã từng,Kiểm tra ngữ pháp tiếng anh
1/21/2024 19:42:51,Nữ,IT,2,Chat-GPT,"Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,3,Hàng ngày,Đã từng,,Chưa,
1/21/2024 19:43:31,Nam,Cntt,2,"Chat-GPT, Google Bard, Grammarly","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,3,3,Hàng tuần,Đã từng,Lý thuyết thống kê,Chưa,
